ID;Transliteración;Fecha de Publicación;Estado de Verificación;Categoría Gramatical;Ortografía Jeroglífica;Traducción EN;Traducción FR;Cronología;Comentario;Diccionario;Lexicons y Regular Indexes;Further References;Autor
27;ʿ-n(y)-ḥȝ.t;Published the Mar 25, 2020 at 15:58;validated;;['https://app.vega-lexique.fr/api/files/c78289ab-15aa-4369-8d9f-3a33dd10b70c.svg'];(a censer);(un encensoir);['25th dyn'];[];;;[];
28;ʿ-n(y)-Ḥr;Published the May 30, 2017 at 16:00;validated;;['https://app.vega-lexique.fr/api/files/f7f7ef8e-cb30-40c1-abd1-5a7ee9c48710.svg', 'https://app.vega-lexique.fr/api/files/fd76359f-466e-4d97-9edd-ea5336a29c07.svg'];(a censer);(un encensoir);[];[];[{'label': 'Wb', 'value': 'cf. I, 156, 7 (ʿ)'}, {'label': 'Wilson, PL', 'value': '131'}];[{'label': 'Meeks, AnLex', 'value': '78.0595'}, {'label': 'DendIndex X', 'value': '74'}, {'label': 'DendTrad III', 'value': '385'}, {'label': 'DendTrad V-VI', 'value': '70'}, {'label': 'Wd (s. v.)', 'value': 'ʿ…'}, {'label': 'TLA (Lemma n°)', 'value': '34630'}];[];
29;ʿ-n(y)-ḥtp;Published the May 30, 2017 at 16:03;problematic;;['https://app.vega-lexique.fr/api/files/0b9b9d79-d5ed-42af-b10c-ef88ed917f85.svg'];support;support;[];[];;[{'label': 'DendIndex X', 'value': '74'}];;
30;ȝw.t;Published the May 30, 2017 at 16:04;validated;;['https://app.vega-lexique.fr/api/files/0c722f60-d76b-41b9-b36c-ed531814551b.svg', 'https://app.vega-lexique.fr/api/files/9afb4d57-b731-428a-b9d5-defa4f96711b.svg'];length, span;longueur, durée;[];[];[{'label': 'Wb', 'value': 'I, 4, 15-5, 1'}, {'label': 'Grundriss 7', 'value': '3'}, {'label': 'Faulkner, CD', 'value': '1'}, {'label': 'Wilson, PL', 'value': '2'}, {'label': 'Kahl, FWb', 'value': '1'}, {'label': 'Lesko, DLE2', 'value': 'I, 3'}, {'label': 'van der Molen, HDECT', 'value': '2'}, {'label': 'Hannig, ÄWb I', 'value': '3 {86-87}, {90}'}, {'label': 'Hannig, ÄWb II', 'value': '6 {86-87}'}];[{'label': 'Meeks, AnLex', 'value': '77.0017'}, {'label': 'Borghouts, van der Plas, CTWI', 'value': '1'}, {'label': 'DendIndex X', 'value': '1 (ȝw)'}, {'label': 'LGG', 'value': 'I, 7a'}, {'label': 'Wd (s. v.)', 'value': 'ȝw'}, {'label': 'TLA (Lemma n°)', 'value': '37'}];[];
31;ȝwj-jb;Published the Sep 4, 2023 at 15:42;validated;Verb;['https://app.vega-lexique.fr/api/files/c354fde5-3411-4665-8529-3df5cebcb54a.svg', 'https://app.vega-lexique.fr/api/files/a6d385b5-76c3-45a6-bbc9-12e65cddb702.svg'];"to rejoice; to be joyful";se réjouir, s'épanouir;[];[];[{'label': 'Wb', 'value': 'cf. I, 4, 5-9 (ȝwj)'}, {'label': 'Faulkner, CD', 'value': 'cf. 2 (ȝw)'}, {'label': 'Wilson, PL', 'value': 'cf. 1-2 (ȝw)'}, {'label': 'Lesko, DLE2', 'value': 'cf. I, 3 (ȝw(j))'}, {'label': 'van der Molen, HDECT', 'value': 'cf. 1-2 (ȝw)'}, {'label': 'Hannig, ÄWb I', 'value': '4 {106}'}, {'label': 'Hannig, ÄWb II', 'value': '7-9 {106-107}'}];"[{'label': 'Meeks, AnLex', 'value': '78.0009 ; 79.0007'}, {'label': 'Borghouts, van der Plas, CTWI', 'value': '1'}, {'label': 'DendIndex X', 'value': '1-2'}, {'label': 'DendTrad I', 'value': '235'}, {'label': 'DendTrad II', 'value': '357 (ȝwj) ; 357 (ȝwj-jb)'}, {'label': 'DendTrad III', 'value': '341'}, {'label': 'DendTrad IV', 'value': '459 (ȝwj) ; 459 (ȝwj-jb)'}, {'label': 'LGG', 'value': 'I, 2a-3c et 5c (ȝwj-jb) '}, {'label': 'DendTrad V-VI', 'value': '1 (ȝw) ; 1-2 (ȝwj-jb)'}, {'label': 'Wd (s. v.)', 'value': 'ȝwj…'}, {'label': 'TLA (Lemma n°)', 'value': '53 ; 856467'}]";[];
32;ʿ-n(y)-ḥtr;Published the Oct 11, 2019 at 11:35;validated;;['https://app.vega-lexique.fr/api/files/704b136b-4723-46ef-9d90-fd83988095e8.svg', 'https://app.vega-lexique.fr/api/files/3c441c6b-2d31-47ea-a574-8845520faa7f.svg'];team of horses;attelage;[];[];[{'label': 'Wb', 'value': 'cf. III, 200, 3 (ḥtr)'}];[{'label': 'TLA (Lemma n°)', 'value': '34640'}];;
33;ʿ-m-ḫt / ʿ-n-ḫt;Published the Oct 4, 2019 at 11:40;validated;;['https://app.vega-lexique.fr/api/files/488e3c06-420c-44ec-8951-2c1356972bb1.svg', 'https://app.vega-lexique.fr/api/files/a0d2257e-8ad0-443b-b342-d9e0587dbffe.svg'];(a censer);(un encensoir);[];[];[{'label': 'Hannig, ÄWb I', 'value': '250 {4520} (ʿ-n-ḫt)'}, {'label': 'Hannig, ÄWb II', 'value': '467 {4520} (ʿ-n-ḫt)'}];[{'label': 'Wd (s. v.)', 'value': 'ʿ... (ʿ-m-ḫt)'}];;
34;ʿ-n(y)-Šw;Published the May 30, 2017 at 16:00;validated;;['https://app.vega-lexique.fr/api/files/80226fee-5a2a-4baa-bcbd-1c43fd37fa89.svg'];(a censer);(un encensoir);['20th dyn'];[];;;[];
35;ȝw.t-jb;Published the May 22, 2024 at 16:11;validated;Substantive;['https://app.vega-lexique.fr/api/files/3422cc3b-67eb-4d16-8b9d-86411a1fe7ed.svg', 'https://app.vega-lexique.fr/api/files/f3211048-7484-45c8-8ec9-b39fef5d9304.svg'];joy;joie, bonheur, plénitude;[];[];"[{'label': 'Wb', 'value': 'cf. I, 4, 17-19 (ȝw.t)'}, {'label': 'Grundriss 7', 'value': 'cf. 3 (ȝw.t/ȝw)'}, {'label': 'Faulkner, CD', 'value': 'cf. 1 (ȝw.t)'}, {'label': 'Wilson, PL', 'value': 'cf. 2 (ȝw.t)'}, {'label': 'Kahl, FWb', 'value': 'cf. 1 (ȝw.t)'}, {'label': 'Lesko, DLE2', 'value': 'I, 3'}, {'label': 'van der Molen, HDECT', 'value': 'cf. 2 (ȝw.t)'}, {'label': 'Hannig, ÄWb I', 'value': '4 {108-109} ; 1582 {43056}'}, {'label': 'Hannig, ÄWb II', 'value': '9-10 {108-109}, {111}, {49368}'}]";"[{'label': 'Meeks, AnLex', 'value': '77.0018 ; 78.0011 ; 79.0009'}, {'label': 'Borghouts, van der Plas, CTWI', 'value': '1'}, {'label': 'DendIndex X', 'value': '2'}, {'label': 'DendTrad I', 'value': '235'}, {'label': 'DendTrad II', 'value': '357-358'}, {'label': 'DendTrad III', 'value': '341'}, {'label': 'DendTrad IV', 'value': '459-460'}, {'label': 'LGG', 'value': 'I, 7a-b'}, {'label': 'DendTrad V-VI', 'value': '2'}, {'label': 'Wd (s. v.)', 'value': 'ȝwt-jb'}, {'label': 'TLA (Lemma n°)', 'value': '42 ; 43 ; 862843'}]";[];
36;ʿ-n(y)-Šw-Smsw;Published the May 30, 2017 at 16:17;validated;;['https://app.vega-lexique.fr/api/files/16cf2bc3-f5ba-43d6-8489-ddcaae7c8786.svg'];(a spear);(une lance);['26th dyn'];[];;[{'label': 'TLA (Lemma n°)', 'value': '856961'}];[];
