ID;Transliteración;Fecha de Publicación;Estado de Verificación;Categoría Gramatical;Ortografía Jeroglífica;Traducción EN;Traducción FR;Cronología;Comentario;Diccionario;Lexicons y Regular Indexes;Further References;Autor
12182;ḫnt.yt;Published the Jul 7, 2023 at 19:42;validated;;"https://app.vega-lexique.fr/api/files/fe78cea1-d482-47e3-85b5-5ff2bae3accb.svg
https://app.vega-lexique.fr/api/files/d61b0109-1c5f-40c5-afd1-0dbdfb1dc03f.svg";(southward) voyage;voyage (vers le sud);;;"Wb
III, 310, 1Faulkner, CD
195van der Molen, HDECT
399Hannig, ÄWb II
1913 {23829}";"TLA (Lemma n°)
119150";;
12183;ḫnt;Published the May 13, 2024 at 10:15;validated;;"https://app.vega-lexique.fr/api/files/1a7451a2-616e-4dcd-845c-4fa4e31e933a.svg
https://app.vega-lexique.fr/api/files/1d0a3a1a-4248-41aa-b913-95204bfa2659.svg";face, brow, forepart (of the head);visage, front, partie avant (de la tête);;;"Wb
III, 302, 1-5Grundriss 7
662Faulkner, CD
194Wilson, PL
737van der Molen, HDECT
395 ; 396Hannig, ÄWb I
954 {23749}Hannig, ÄWb II
1901 {23749}";"Meeks, AnLex
77.3122 ; 78.3068LGG
V, 773aWd (s. v.)
ḫnt...TLA (Lemma n°)
118790";;
12184;ḫwd;Published the Jul 7, 2023 at 19:43;validated;;https://app.vega-lexique.fr/api/files/09a98d1f-6944-45d1-8eb8-36fc015a6030.svg;to fish with a net;pêcher au filet;5th dyn;;;"Meeks, AnLex
77.3030TLA (Lemma n°)
115340";;
12185;ḫwsw;Published the Jul 7, 2023 at 19:45;problematic;;https://app.vega-lexique.fr/api/files/676a56c4-855b-4f06-8507-120c2de968bd.svg;(meaning unknown);(sens inconnu);;;"Wb
III, 249, 8Hannig, ÄWb II
1851 {23025}";"TLA (Lemma n°)
115290";;
12186;ḫwḫ(w).t;Published the Jul 7, 2023 at 19:45;validated;;"https://app.vega-lexique.fr/api/files/cc34daf4-3758-4117-849c-073614f22957.svg
https://app.vega-lexique.fr/api/files/d7332431-6316-4250-85c4-736ab689d076.svg";(a ship);(une embarcation);;;"Wb
III, 248, 3 (ḫwḫ.t)";"Wd (s. v.)
ḫwḫtTLA (Lemma n°)
115240 (ḫwḫ.t)";;
12187;ḫ(w)rr;Published the Jul 7, 2023 at 19:47;validated;;"https://app.vega-lexique.fr/api/files/c609375f-617d-4c99-8e39-5079c0a82122.svg
https://app.vega-lexique.fr/api/files/d869a4cf-0feb-417e-886d-b9dbedd0e198.svg";"calf (?), young bull (?); (a bird?); (a god?)";"veau (?), taurillon (?) ; (un oiseau ?) ; (une divinité ?)";;;"Wb
III, 248, 1 ; 248, 2 (ḫwrr)van der Molen, HDECT
378 (ḫwrr) ; 407 (ḫrr)Hannig, ÄWb I
932 {23009} (ḫwrr)Hannig, ÄWb II
1850 {23009-23010} (ḫwrr)";"Meeks, AnLex
78.2969 (ḫwrr)Borghouts, van der Plas, CTWI
223 (ḫwrr)LGG
V, 676b (ḫwrr) ; 951a (ḫrr)Wd (s. v.)
ḫwrrTLA (Lemma n°)
115230 (ḫwrr)";;
12188;šwš.t;Published the Sep 20, 2024 at 10:50;problematic;;https://app.vega-lexique.fr/api/files/28eb4ee3-a073-4b11-b1cf-ea5c180e7b2a.svg;administration (?);administration (?);19th dyn;;"Lesko, DLE2
II, 116 ";"Meeks, AnLex
79.2955 ";;
12189;ḫwḫw.t;Published the Nov 25, 2024 at 16:22;validated;;https://app.vega-lexique.fr/api/files/5a7d6356-9c6b-4666-8558-92ebc3be278d.svg;necropolis;nécropole;Ptolemaic Dyn;;;"DendIndex X
416";;
12190;ḫw.w;Published the Sep 14, 2023 at 15:23;wrongGraphy;;https://app.vega-lexique.fr/api/files/f879a6ce-182c-4114-a400-0dc082ce735f.svg;(a part of the enemy's corpse);(une partie du cadavre de l’ennemi);"18th dyn
19th dyn
20th dyn";;"Wb
III, 247, 11 (ḫw)";"TLA (Lemma n°)
114960 (ḫw)";;
12191;ḫwrt(y).w;Published the Sep 14, 2023 at 15:38;validated;;https://app.vega-lexique.fr/api/files/478f3544-66fc-4200-a78b-feaf25350f68.svg;(meaning unknown);(sens inconnu);Ptolemaic Dyn;;;"LGG
V, 676b";;
12192;ḫwn.t;Published the Aug 29, 2022 at 14:26;validated;;"https://app.vega-lexique.fr/api/files/483ca3e6-7eb7-49c7-b66f-14eedfb0df20.svg
https://app.vega-lexique.fr/api/files/562ffada-b292-4cbe-b7a4-d80a797bfbce.svg";(a beverage);(une boisson);;;"Wb
III, 247, 17";"TLA (Lemma n°)
115190";;
12193;šwšy.t;Published the Sep 20, 2024 at 10:50;validated;;https://app.vega-lexique.fr/api/files/c6e66ef5-af48-4623-a316-33a49380ba9c.svg;dryness, drought;sécheresse;11th dyn;;"Hannig, ÄWb II
2435 {32482} ";"Meeks, AnLex
77.4132 Wd (s. v.)
šwšjt TLA (Lemma n°)
153160 ";;
12194;šwdd;Published the Oct 22, 2024 at 16:45;validated;;https://app.vega-lexique.fr/api/files/4c453938-e612-41df-9d5b-95e8cc6d0678.svg;"sweat (?); breastbone (?)";"sueur (?) ; sternum (?)";;;"van der Molen, HDECT
612 ";;;
12195;gmḥsw;Published the Nov 20, 2023 at 16:31;validated;;"https://app.vega-lexique.fr/api/files/2efd3983-e746-488f-9b18-9e9e004cf368.svg
https://app.vega-lexique.fr/api/files/b6c52fe8-cee0-48c8-869a-ef61c08c6621.svg";"bird of prey, falcon; sacred falcon image";"rapace, faucon ; image de faucon sacré";;;"Wb
V, 172, 1-6Faulkner, CD
289Wilson, PL
1100 ; 1100-1101 (ḥm-gmḥs)van der Molen, HDECT
688 (gnḥsw)Hannig, ÄWb I
1368 {35836}Hannig, ÄWb II
2597 {35836-35837}";"Meeks, AnLex
78.4451 ; 79.3288Borghouts, van der Plas, CTWI
298 (gnḥsw)DendTrad I
453DendTrad II
698DendTrad III
638DendTrad IV
875 LGG
VII, 313a-314c ; 315b (gnḥsw)DendTrad V-VI
498Wd (s. v.)
gmḥsw ; gmḥsw… ; gnḥswTLA (Lemma n°)
167360";;
12196;gmḥs;Published the Aug 29, 2022 at 14:34;validated;;"https://app.vega-lexique.fr/api/files/52f2ac0a-9580-4984-9a42-609e85246c70.svg
https://app.vega-lexique.fr/api/files/a9e2a035-4281-45e3-b16e-f77313fd1b3a.svg";(a priestly title);(un titre de prêtre);;;"Wb
V, 172, 7";"Meeks, AnLex
78.4452";;
12197;gmgm;Published the Aug 29, 2022 at 14:35;validated;;"https://app.vega-lexique.fr/api/files/7784f229-5886-42cc-8e1a-8dc5167d7aa5.svg
https://app.vega-lexique.fr/api/files/7f70ea17-6185-42c6-971e-a4fc374e4351.svg";"to break, to smash, to cruch, to tear up; to splinter";"casser, briser, écraser, déchirer ; se fendre";;;"Wb
V, 172, 8-11Faulkner, CD
289Lesko, DLE2
II, 189van der Molen, HDECT
687-688Hannig, ÄWb I
1368 {35838}Hannig, ÄWb II
2597 {35838-35840}";"Meeks, AnLex
79.3289Borghouts, van der Plas, CTWI
298LGG
VII, 314c-315aWd (s. v.)
gmgmTLA (Lemma n°)
167370";;
12198;gmgm;Published the Aug 29, 2022 at 14:35;validated;;"https://app.vega-lexique.fr/api/files/8ab1c0b4-197f-492a-baa9-f8bd40e01d68.svg
https://app.vega-lexique.fr/api/files/9cfb7c55-49a6-44a0-a9bf-3ae3fdfc7f31.svg";to caress, to massage;caresser, masser;;;"Wb
V, 172, 12 Lesko, DLE2
II, 189Hannig, ÄWb II
2597 {35841}";"Meeks, AnLex
77.4647TLA (Lemma n°)
167380 ";;
12199;gmgm;Published the Sep 14, 2023 at 15:47;wrong;;https://app.vega-lexique.fr/api/files/9b8d0910-3b8d-46c6-b616-61a6d4c51490.svg;to talk rubbish, to babble;dire n'importe quoi, jacasser;19th dyn;;"Wb
V, 172, 13";"TLA (Lemma n°)
167390";;
