ID;Transliteración;Fecha de Publicación;Estado de Verificación;Categoría Gramatical;Ortografía Jeroglífica;Traducción EN;Traducción FR;Cronología;Comentario;Diccionario;Lexicons y Regular Indexes;Further References;Autor
12139;qȝȝ;Published the Mar 22, 2024 at 14:17;problematic;;https://app.vega-lexique.fr/api/files/71d315d2-33dc-4b99-8662-d5f0d19cf52b.svg;(an insect?);(un insecte ?);12th dyn;;"van der Molen, HDECT
645 (qȝȝw)Hannig, ÄWb II
2506 (qȝȝ)";"Meeks, AnLex
78.4236 (qȝȝ)Borghouts, van der Plas, CTWI
287 (qȝȝ)";;
12140;qȝ.w;Published the Apr 15, 2024 at 17:50;validated;;"https://app.vega-lexique.fr/api/files/9f2cc199-a53b-4619-9c53-44f2380f9705.svg
https://app.vega-lexique.fr/api/files/7b22bb8b-45e0-48fc-bcf9-b3f5c8b06033.svg";bones (?);os (?);"6th dyn
7th dyn
8th dyn
9th dyn
10th dyn
11e dyn
11th dyn
12th dyn";;"van der Molen, HDECT
645";;;
12141;gmy;Published the Nov 14, 2024 at 9:15;validated;;"https://app.vega-lexique.fr/api/files/0568b1ae-94bc-48f8-9bff-94917ad76216.svg
https://app.vega-lexique.fr/api/files/212620f4-38ee-47e8-b172-a3101c630809.svg";(a rush);(un jonc);"19th dyn
Ptolemaic Dyn";;"Wb
V, 170, 5Lesko, DLE2
II, 189";"Meeks, AnLex
77.4642Wd (s. v.)
gmj ; qmjTLA (Lemma n°)
167230";;
12142;gmy.t;Published the Jun 30, 2023 at 16:38;validated;;"https://app.vega-lexique.fr/api/files/2a889039-646b-4c43-b48b-1634804920fc.svg
https://app.vega-lexique.fr/api/files/f42172fa-e4fc-457a-91f5-ea861ee0e085.svg";search, investigation, diagnosis;recherche, enquête, diagnostic;;;"Hannig, ÄWb II
2596 {35802}";"Meeks, AnLex
77.4641";;
12143;gmy.t;Published the Jul 6, 2023 at 10:53;validated;;https://app.vega-lexique.fr/api/files/9cbdc00f-e72b-4fe1-b59e-8017517d77ed.svg;(female) creator;créatrice;18th dyn;;"Lesko, DLE2
II, 189";;;
12144;gmw;Published the Feb 5, 2025 at 15:56;problematic;;https://app.vega-lexique.fr/api/files/4ff8ae13-b790-4732-9fcd-cfda87c0d764.svg;precious stones (?);pierres précieuses (?);19th dyn;;"Wb
V, 169, 13Lesko, DLE2
II, 189";"Wd (s. v.)
gm n ḫȝstTLA (Lemma n°)
860336";;
12145;gmw;Published the Jun 30, 2023 at 16:50;validated;;"https://app.vega-lexique.fr/api/files/fd8a9766-45f1-4d34-81f4-8552f406102f.svg
https://app.vega-lexique.fr/api/files/d20029be-222f-4dde-b733-a38ac911725e.svg";"weakness, daze, stiffness; mourning";"faiblesse, étourdissement, engourdissement ; affliction";;;"Wb
V, 169, 14-16Grundriss 7
919Faulkner, CD
289Hannig, ÄWb II
2596 {35807-35808}";"LGG
VII, 311c Wd (s. v.)
gmwTLA (Lemma n°)
167180";;
12146;gmw.t;Published the Jun 30, 2023 at 16:50;validated;;"https://app.vega-lexique.fr/api/files/18fecf2f-5bf0-4b0d-ac76-6665250eee0d.svg
https://app.vega-lexique.fr/api/files/e50d7c36-a7e3-4783-a6bd-9b238e3af2ec.svg";weakness, daze, stiffness;faiblesse, étourdissement, engourdissement;;;"Wb
V, 170, 1Faulkner, CD
289van der Molen, HDECT
687Hannig, ÄWb II
2596 {35809-35811}";"Meeks, AnLex
78.4448Borghouts, van der Plas, CTWI
298LGG
VII, 311c TLA (Lemma n°)
855819";;
12147;gmnn / gnn;Published the Jun 30, 2023 at 16:51;validated;;"https://app.vega-lexique.fr/api/files/b60e75bb-3496-4011-b2ba-d2468db13f7f.svg
https://app.vega-lexique.fr/api/files/3dd175ed-2975-4f27-92bc-4939a6796922.svg";(an edible fruit);(un fruit comestible);;;"Wb
V, 170, 7 (gmnn)Lesko, DLE2
I, 190 (gnn)";"Wd (s. v.)
gmnn ; gnnTLA (Lemma n°)
167260 (gmnn)";;
12148;ḫbw;Published the Jun 30, 2023 at 16:55;wrong;;https://app.vega-lexique.fr/api/files/80b59119-8bc3-46db-a239-5b163a2fe575.svg;to force down;forcer;6th dyn;;"Hannig, ÄWb I
926 {47505} (ḫȝb)";;;
12149;šw(ȝ)b;Published the Sep 20, 2024 at 10:11;validated;;"https://app.vega-lexique.fr/api/files/7a44a427-f27f-4125-91f9-1e2e2ab9f8c9.svg
https://app.vega-lexique.fr/api/files/c22b6e0e-6922-4fa0-be79-1ccbfb4784cb.svg";persea (Mimusops laurifolia Forssk. Friis);perséa (Mimusops laurifolia Forssk. Friis);;;"Wb
IV, 435, 10-14Grundriss 6
484-485Faulkner, CD
263Lesko, DLE2
II, 115Hannig, ÄWb II
2435 {32476}";"Meeks, AnLex
77.4129 ; 79.2953 LGG
VII, 44c Wd (s. v.)
šwȝb ; šwb ; …šwb TLA (Lemma n°)
153110 ";;
